engagement,ad_name,campaign,date,reach,spend
"3,771",XBrand | Save More | Zero Interest | Easy Payments,XBrand | Green Finance | Holiday Cashback | Savings Fiesta,2023-05-01,"44,392",LKR748.92
"12,798",XBrand | Weekend Treat | Easy Payments | Travel Smart | Swipe and Win,XBrand | Luxury Travel | Holiday Cashback | Lifestyle Rewards | Flash Sale,2023-05-01,"26,094",LKR702.28
54,XBrand | Gift Vouchers | Limited Time | Win Big | Weekend Treat | Zero Interest,XBrand | Savings Fiesta | Luxury Travel | Diwali Deals | Green Finance,2023-05-01,"52,160",LKR974.39
556,XBrand | Win Big | Swipe and Win | Easy Payments | Save More | Gift Vouchers,XBrand | Lifestyle Rewards | Savings Fiesta | Digital Drive | Flash Sale,2023-05-01,"8,097",LKR947.15
61,XBrand | Get Rewarded | Win Big | Zero Interest | Exclusive Offer,XBrand | Flash Sale | Gold Loan Offers | Back to School | Digital Drive,2023-05-01,"41,825","LKR1,018.62"
420,XBrand | Get Rewarded | Win Big | Zero Interest | Easy Payments,XBrand | Auto Loans Special | Green Finance | Flash Sale | Digital Drive | Summer Bonanza,2023-05-01,"7,008","LKR1,002.49"
57,XBrand | Save More | Swipe and Win | Limited Time,XBrand | Savings Fiesta | Back to School | Gold Loan Offers | Auto Loans Special | Diwali Deals,2023-05-01,"41,396",LKR730.37
282,XBrand | Exclusive Offer | Zero Interest | Gift Vouchers | Win Big,XBrand | Diwali Deals | Auto Loans Special | Green Finance | Back to School | Summer Bonanza,2023-05-01,"3,483",LKR715.99
53,XBrand | Win Big | Save More | Weekend Treat,XBrand | Flash Sale | Summer Bonanza | Back to School,2023-05-01,"48,439",LKR725.84
296,XBrand | Easy Payments | Get Rewarded | Exclusive Offer | Limited Time | Swipe and Win,XBrand | Holiday Cashback | Lifestyle Rewards | Gold Loan Offers | Luxury Travel | Diwali Deals,2023-05-01,"4,655",LKR720.93
"3,300",XBrand | Easy Payments | Travel Smart | Zero Interest | Swipe and Win,XBrand | Gold Loan Offers | Holiday Cashback | Summer Bonanza | Auto Loans Special,2023-05-01,"21,134",LKR311.35
"7,675",XBrand | Save More | Limited Time | Bonus Points | Win Big,XBrand | Gold Loan Offers | Digital Drive | Holiday Cashback | Lifestyle Rewards | Green Finance,2023-05-01,"12,783",LKR335.27
"7,513",XBrand | Weekend Treat | Travel Smart | Gift Vouchers | Zero Interest,XBrand | Back to School | Holiday Cashback | Green Finance | Flash Sale,2023-05-01,"11,516",LKR358.22
"13,647",XBrand | Swipe and Win | Bonus Points | Zero Interest | Travel Smart,XBrand | Lifestyle Rewards | Auto Loans Special | Flash Sale,2023-05-02,"92,669","LKR6,115.95"
"9,618",XBrand | Exclusive Offer | Swipe and Win | Travel Smart | Gift Vouchers,XBrand | Summer Bonanza | Lifestyle Rewards | Savings Fiesta | Luxury Travel | Gold Loan Offers,2023-05-02,"81,560","LKR5,511.02"
"11,698",XBrand | Zero Interest | Get Rewarded | Travel Smart | Swipe and Win | Easy Payments,XBrand | Gold Loan Offers | Green Finance | Lifestyle Rewards | Flash Sale,2023-05-02,"75,288","LKR5,956.65"
"19,562",XBrand | Limited Time | Swipe and Win | Exclusive Offer | Easy Payments,XBrand | Luxury Travel | Gold Loan Offers | Flash Sale,2023-05-02,"82,496","LKR6,058.18"
"15,883",XBrand | Win Big | Swipe and Win | Exclusive Offer | Easy Payments | Limited Time,XBrand | Holiday Cashback | Diwali Deals | Summer Bonanza | Luxury Travel,2023-05-02,"75,528","LKR6,407.40"
"17,771",XBrand | Weekend Treat | Travel Smart | Limited Time | Save More,XBrand | Back to School | Diwali Deals | Digital Drive,2023-05-02,"141,100","LKR10,860.87"
"33,196",XBrand | Exclusive Offer | Bonus Points | Weekend Treat | Win Big,XBrand | Holiday Cashback | Green Finance | Back to School,2023-05-02,"119,650","LKR10,202.13"
"29,913",XBrand | Gift Vouchers | Save More | Weekend Treat | Travel Smart | Swipe and Win,XBrand | Diwali Deals | Lifestyle Rewards | Green Finance,2023-05-02,"151,034","LKR10,256.70"
"2,841",XBrand | Swipe and Win | Limited Time | Get Rewarded,XBrand | Luxury Travel | Back to School | Holiday Cashback,2023-05-02,"42,972",LKR684.63
"14,571",XBrand | Bonus Points | Easy Payments | Save More | Gift Vouchers | Swipe and Win,XBrand | Holiday Cashback | Auto Loans Special | Gold Loan Offers,2023-05-02,"20,209",LKR637.97
"26,079",XBrand | Limited Time | Get Rewarded | Travel Smart | Win Big | Swipe and Win,XBrand | Lifestyle Rewards | Diwali Deals | Flash Sale | Green Finance,2023-05-02,"140,544","LKR10,780.55"
75,XBrand | Zero Interest | Weekend Treat | Gift Vouchers | Win Big,XBrand | Digital Drive | Diwali Deals | Flash Sale | Lifestyle Rewards,2023-05-02,"45,772",LKR835.40
563,XBrand | Gift Vouchers | Limited Time | Zero Interest | Save More,XBrand | Auto Loans Special | Gold Loan Offers | Back to School | Lifestyle Rewards,2023-05-02,"9,363",LKR724.70
63,XBrand | Swipe and Win | Limited Time | Easy Payments | Travel Smart | Gift Vouchers,XBrand | Diwali Deals | Gold Loan Offers | Savings Fiesta,2023-05-02,"50,974",LKR804.97
335,XBrand | Get Rewarded | Win Big | Travel Smart | Zero Interest,XBrand | Diwali Deals | Summer Bonanza | Digital Drive,2023-05-02,"6,684",LKR852.43
42,XBrand | Swipe and Win | Weekend Treat | Travel Smart,XBrand | Diwali Deals | Flash Sale | Gold Loan Offers | Auto Loans Special | Green Finance,2023-05-02,"44,000",LKR721.86
321,XBrand | Zero Interest | Win Big | Gift Vouchers | Bonus Points | Limited Time,XBrand | Digital Drive | Green Finance | Gold Loan Offers | Diwali Deals,2023-05-02,"3,561",LKR849.21
40,XBrand | Weekend Treat | Zero Interest | Save More | Limited Time | Travel Smart,XBrand | Flash Sale | Auto Loans Special | Back to School | Gold Loan Offers | Holiday Cashback,2023-05-02,"48,872",LKR767.10
224,XBrand | Save More | Exclusive Offer | Bonus Points | Gift Vouchers | Limited Time,XBrand | Luxury Travel | Lifestyle Rewards | Flash Sale,2023-05-02,"5,186",LKR822.68
50,XBrand | Weekend Treat | Swipe and Win | Travel Smart | Gift Vouchers,XBrand | Green Finance | Summer Bonanza | Auto Loans Special | Savings Fiesta | Gold Loan Offers,2023-05-02,"37,423",LKR686.49
194,XBrand | Win Big | Swipe and Win | Easy Payments | Travel Smart | Zero Interest,XBrand | Back to School | Green Finance | Digital Drive | Savings Fiesta,2023-05-02,"3,029",LKR590.16
"2,888",XBrand | Travel Smart | Save More | Swipe and Win,XBrand | Diwali Deals | Lifestyle Rewards | Back to School,2023-05-02,"21,737",LKR358.26
"5,825",XBrand | Travel Smart | Win Big | Zero Interest | Get Rewarded | Swipe and Win,XBrand | Back to School | Green Finance | Diwali Deals | Flash Sale | Auto Loans Special,2023-05-02,"11,072",LKR295.59
"17,695",XBrand | Bonus Points | Swipe and Win | Weekend Treat | Exclusive Offer | Limited Time,XBrand | Diwali Deals | Lifestyle Rewards | Savings Fiesta | Flash Sale | Holiday Cashback,2023-05-03,"104,594","LKR10,288.51"
"12,505",XBrand | Swipe and Win | Zero Interest | Get Rewarded,XBrand | Auto Loans Special | Green Finance | Holiday Cashback | Flash Sale,2023-05-03,"109,199","LKR8,676.75"
"15,876",XBrand | Win Big | Bonus Points | Swipe and Win | Weekend Treat,XBrand | Flash Sale | Back to School | Lifestyle Rewards,2023-05-03,"107,659","LKR8,696.13"
"21,751",XBrand | Get Rewarded | Swipe and Win | Win Big,XBrand | Auto Loans Special | Diwali Deals | Lifestyle Rewards | Savings Fiesta | Flash Sale,2023-05-03,"88,817","LKR7,639.42"
"20,574",XBrand | Easy Payments | Save More | Bonus Points | Exclusive Offer,XBrand | Back to School | Lifestyle Rewards | Savings Fiesta | Gold Loan Offers,2023-05-03,"123,738","LKR9,631.59"
"24,564",XBrand | Easy Payments | Swipe and Win | Win Big,XBrand | Diwali Deals | Digital Drive | Back to School | Summer Bonanza,2023-05-03,"174,584","LKR15,638.63"
"41,268",XBrand | Travel Smart | Win Big | Limited Time,XBrand | Luxury Travel | Summer Bonanza | Green Finance | Gold Loan Offers | Flash Sale,2023-05-03,"183,836","LKR14,139.47"
"34,657",XBrand | Easy Payments | Weekend Treat | Get Rewarded,XBrand | Summer Bonanza | Luxury Travel | Diwali Deals,2023-05-03,"154,139","LKR15,084.33"
"1,967",XBrand | Win Big | Gift Vouchers | Exclusive Offer | Zero Interest,XBrand | Luxury Travel | Digital Drive | Auto Loans Special,2023-05-03,"38,041",LKR615.02
"10,731",XBrand | Weekend Treat | Get Rewarded | Gift Vouchers,XBrand | Holiday Cashback | Gold Loan Offers | Lifestyle Rewards,2023-05-03,"16,202",LKR636.51
"30,938",XBrand | Travel Smart | Save More | Gift Vouchers | Limited Time | Bonus Points,XBrand | Digital Drive | Green Finance | Holiday Cashback | Lifestyle Rewards,2023-05-03,"163,189","LKR16,106.76"
44,XBrand | Zero Interest | Exclusive Offer | Weekend Treat,XBrand | Savings Fiesta | Luxury Travel | Back to School,2023-05-03,"45,956",LKR621.37
