post_url,author,text
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"මේ වගෙ බුවෙක්ද බන් අනුරයගෙ ආර්තික උපදේශක?
අහස උසට වාහන වලට බදු ගහල වාහනයක් ගන්න බැරි තරමට ඒක හීනයක් කරල
වාහන බදු වලින් ආදායම් ගන්න බලන් ඉන්න මුන්ව නම් මිනිස්සු වෙන්න බෑ","මේ වගෙ බුවෙක්ද බන් අනුරයගෙ ආර්තික උපදේශක?
අහස උසට වාහන වලට බදු ගහල වාහනයක් ගන්න බැරි තරමට ඒක හීනයක් කරල
වාහන බදු වලින් ආදායම් ගන්න බලන් ඉන්න මුන්ව නම් මිනිස්සු වෙන්න බෑ"
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,තව අවුරුද නමයක් තියනවා විට්ස් එක ලක්ෂ 12 දෙන්න,තව අවුරුද නමයක් තියනවා විට්ස් එක ලක්ෂ 12 දෙන්න
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"වාහන මිල මොනවා වුනත් ප්
‍
රශ්නයක් නෙවෙයි උන්ට. මොකද උන් දන්නවා වාහනයක් ගන්න තියා එදාවේල කන්න බැරි තරම්. කැලණි හිඟන්නෝ තමයි උන්ට චන්දෙ දුන්නෙ කියලා.","වාහන මිල මොනවා වුනත් ප්
‍
රශ්නයක් නෙවෙයි උන්ට. මොකද උන් දන්නවා වාහනයක් ගන්න තියා එදාවේල කන්න බැරි තරම්. කැලණි හිඟන්නෝ තමයි උන්ට චන්දෙ දුන්නෙ කියලා."
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"බොරු ගනන් දිලා අත්
‍
යවශ්
‍
ය ම නොවේ නම් ගන්න එපා","බොරු ගනන් දිලා අත්
‍
යවශ්
‍
ය ම නොවේ නම් ගන්න එපා"
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,පුපුරැදය,පුපුරැදය
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"සාම්ප්
‍
රදායික බදු ක්
‍
රම නෙවෙයි ගල් යුගයෙ බදු ක්
‍
රම මුන්ගෙ
මේවද කියාපු සංවර්ධය සැලසුම්","සාම්ප්
‍
රදායික බදු ක්
‍
රම නෙවෙයි ගල් යුගයෙ බදු ක්
‍
රම මුන්ගෙ
මේවද කියාපු සංවර්ධය සැලසුම්"
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"Gihan Pradeep
තව පෝය දෙකකින්වත් අඩු කරන්න බැරිද","Gihan Pradeep
තව පෝය දෙකකින්වත් අඩු කරන්න බැරිද"
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,වාහනවල බදු අඩුවෙන්න තියා මුන් හදන්නෙ අතේ තියන කීයට හරිත් බදු කෙලින්න.,වාහනවල බදු අඩුවෙන්න තියා මුන් හදන්නෙ අතේ තියන කීයට හරිත් බදු කෙලින්න.
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"හිතනවා, හිතුවේ කියලා විතරයි සම්පූර්ණ කතාව ගත්තොත්..... මහා බැංකු අධිපති තුමා නම් කෙලින්ම වෙන දේ කියනවා...","හිතනවා, හිතුවේ කියලා විතරයි සම්පූර්ණ කතාව ගත්තොත්..... මහා බැංකු අධිපති තුමා නම් කෙලින්ම වෙන දේ කියනවා..."
https://www.facebook.com/sinhala.adaderana.lk/videos/959489719677231,"Wahana nogena imu
Echcharai","Wahana nogena imu
Echcharai"
